Date,Urals loading,NWEMURLCRMc1,.IMOEX,LCOc1
2017-01-08,10597030.718289107,7.262148941266077,2919.9413051404063,67.23894620022246
2017-01-15,12843987.197923288,5.370577282560153,2789.6531718138144,80.200164339248
2017-01-22,13567450.785779385,-0.2599269714320176,2294.938893147096,54.51221812702103
2017-01-29,11380232.088556929,0.6814993393540196,3851.782673004836,51.62898808018849
2017-02-05,15237929.900076184,-3.381310946557959,2286.288842359605,52.545935627008234
2017-02-12,7618168.169674496,-2.29202049808507,3213.000996668631,59.000040870123556
2017-02-19,13797746.68011811,2.373512225408224,2518.2839293799707,49.3287520630284
2017-02-26,13970698.295044277,7.671432321693696,2729.9134195857373,57.42865697495378
2017-03-05,12165608.807113685,-0.7218302078161081,3307.273757150095,75.92308429299607
2017-03-12,11481989.636061696,3.3440165889216313,3869.4303592690494,56.21084294927394
2017-03-19,9853794.535276247,0.8282465445129279,2807.1884811532786,56.80038886147525
2017-03-26,16669635.525076848,5.471651048344139,2749.0958947649215,63.89394905067335
2017-04-02,11067703.970530476,2.2371892221392455,3792.878201911374,73.02570356073113
2017-04-09,14205221.29870699,4.920113216299587,2203.788671925012,70.94475835176091
2017-04-16,14704177.66658809,5.374093325101529,2679.590726521297,68.59408079193645
2017-04-23,13597271.743317189,-2.377014045842264,2701.0685177899177,51.44687807566916
2017-04-30,9626109.041372187,4.1101211947778555,2161.156256973952,50.58858972528768
2017-05-07,11012310.751662007,7.531571960241716,3170.295177249497,67.16409518930126
2017-05-14,12234255.701608505,1.9413978566132561,1830.9698844289842,23.960428382534673
2017-05-21,11856498.514160875,-4.124120503423139,2907.0586105110187,63.705474825448285
2017-05-28,12799465.736319944,0.7736141772033769,2461.6451356411485,76.11343582114226
2017-06-04,14609721.006995402,3.776447787613309,2795.2752965801847,76.04390270819744
2017-06-11,13752791.636998814,4.625228212234212,2296.133116709155,60.77609066281762
2017-06-18,14282483.597052276,-2.755054537072458,2724.549827965475,60.72853421718516
2017-06-25,11213730.295100793,1.0016348014823118,2645.5175574039054,58.913719418473875
2017-07-02,16475485.270775655,-0.6085557144000839,2597.1465701956713,63.71203639925883
2017-07-09,12619965.08371698,3.16740789817275,2449.9669380892356,80.07523367843316
2017-07-16,11332308.373704853,0.8857173853772697,2824.2120172919545,39.6316752849608
2017-07-23,11938943.305315623,0.9087644729736561,1350.8189055113842,45.67514061017584
2017-07-30,12230830.151741887,5.8142361959324145,3364.14270514669,79.78433915118461
2017-08-06,9692189.249605618,-1.0367713992380856,3426.525890313127,79.22748758290653
